Topik_ID,Nama_Topik,Rank,Kata,Skor_cTFIDF
12,12_nikah_pernikahan_istri_suami,9,zaskia,0.019734
12,12_nikah_pernikahan_istri_suami,10,world of,0.01894
13,13_akun_facebook_akun facebook_meng,1,akun,0.024027
13,13_akun_facebook_akun facebook_meng,2,facebook,0.020674
13,13_akun_facebook_akun facebook_meng,3,akun facebook,0.018492
13,13_akun_facebook_akun facebook_meng,4,mengatasnamakan,0.016821
13,13_akun_facebook_akun facebook_meng,5,tautan,0.015545
13,13_akun_facebook_akun facebook_meng,6,lowongan,0.015406
13,13_akun_facebook_akun facebook_meng,7,counter penjelasan,0.015145
13,13_akun_facebook_akun facebook_meng,8,hoaks,0.013593
13,13_akun_facebook_akun facebook_meng,9,akun tersebut,0.013025
13,13_akun_facebook_akun facebook_meng,10,hoaks link,0.012834
14,14_israel_gaza_palestina_hamas,1,israel,0.031742
14,14_israel_gaza_palestina_hamas,2,gaza,0.022164
14,14_israel_gaza_palestina_hamas,3,palestina,0.021364
14,14_israel_gaza_palestina_hamas,4,hamas,0.012285
14,14_israel_gaza_palestina_hamas,5,serangan,0.010603
14,14_israel_gaza_palestina_hamas,6,gencatan,0.008441
14,14_israel_gaza_palestina_hamas,7,gencatan senjata,0.008369
14,14_israel_gaza_palestina_hamas,8,netanyahu,0.007995
14,14_israel_gaza_palestina_hamas,9,lebanon,0.00743
14,14_israel_gaza_palestina_hamas,10,perang,0.00723
15,15_vaksin_vaksin covid_covid_vaksin,1,vaksin,0.065434
15,15_vaksin_vaksin covid_covid_vaksin,2,vaksin covid,0.025597
15,15_vaksin_vaksin covid_covid_vaksin,3,covid,0.023094
15,15_vaksin_vaksin covid_covid_vaksin,4,vaksinasi,0.020563
15,15_vaksin_vaksin covid_covid_vaksin,5,vaksinasi covid,0.010029
15,15_vaksin_vaksin covid_covid_vaksin,6,klinis,0.008347
15,15_vaksin_vaksin covid_covid_vaksin,7,divaksin,0.00829
15,15_vaksin_vaksin covid_covid_vaksin,8,sinovac,0.007615
15,15_vaksin_vaksin covid_covid_vaksin,9,pfizer,0.00759
15,15_vaksin_vaksin covid_covid_vaksin,10,dosis,0.007278
16,16_kebakaran_api_terbakar_pemadam,1,kebakaran,0.041686
16,16_kebakaran_api_terbakar_pemadam,2,api,0.021095
16,16_kebakaran_api_terbakar_pemadam,3,terbakar,0.018153
16,16_kebakaran_api_terbakar_pemadam,4,pemadam,0.013868
16,16_kebakaran_api_terbakar_pemadam,5,pemadam kebakaran,0.010908
16,16_kebakaran_api_terbakar_pemadam,6,damkar,0.010469
16,16_kebakaran_api_terbakar_pemadam,7,memadamkan,0.009069
16,16_kebakaran_api_terbakar_pemadam,8,pemadaman,0.008786
16,16_kebakaran_api_terbakar_pemadam,9,asap,0.008268
16,16_kebakaran_api_terbakar_pemadam,10,ledakan,0.008178
17,17_salat_doa_sidang_imam nahrawi,1,salat,0.02446
17,17_salat_doa_sidang_imam nahrawi,2,doa,0.023759
17,17_salat_doa_sidang_imam nahrawi,3,sidang,0.019289
17,17_salat_doa_sidang_imam nahrawi,4,imam nahrawi,0.017076
17,17_salat_doa_sidang_imam nahrawi,5,gereja,0.016641
17,17_salat_doa_sidang_imam nahrawi,6,nahrawi,0.016611
17,17_salat_doa_sidang_imam nahrawi,7,ibadah,0.015947
17,17_salat_doa_sidang_imam nahrawi,8,salat jumat,0.015045
17,17_salat_doa_sidang_imam nahrawi,9,sholat,0.014691
17,17_salat_doa_sidang_imam nahrawi,10,allah,0.012907
18,18_gempa_bmkg_tsunami_gempa bumi,1,gempa,0.055747
18,18_gempa_bmkg_tsunami_gempa bumi,2,bmkg,0.021981
18,18_gempa_bmkg_tsunami_gempa bumi,3,tsunami,0.0214
18,18_gempa_bmkg_tsunami_gempa bumi,4,gempa bumi,0.016599
18,18_gempa_bmkg_tsunami_gempa bumi,5,bumi,0.013036
18,18_gempa_bmkg_tsunami_gempa bumi,6,magnitudo,0.010586
18,18_gempa_bmkg_tsunami_gempa bumi,7,gempa terjadi,0.009895
18,18_gempa_bmkg_tsunami_gempa bumi,8,video,0.009077
18,18_gempa_bmkg_tsunami_gempa bumi,9,banjir,0.008809
18,18_gempa_bmkg_tsunami_gempa bumi,10,kedalaman,0.008563
19,19_mbg_bergizi_makan bergizi_keracu,1,mbg,0.019142
19,19_mbg_bergizi_makan bergizi_keracu,2,bergizi,0.01432
19,19_mbg_bergizi_makan bergizi_keracu,3,makan bergizi,0.01275
19,19_mbg_bergizi_makan bergizi_keracu,4,keracunan,0.012513
19,19_mbg_bergizi_makan bergizi_keracu,5,bergizi gratis,0.012439
19,19_mbg_bergizi_makan bergizi_keracu,6,pangan,0.011267
19,19_mbg_bergizi_makan bergizi_keracu,7,gizi,0.011121
19,19_mbg_bergizi_makan bergizi_keracu,8,makan,0.010813
19,19_mbg_bergizi_makan bergizi_keracu,9,sppg,0.010731
19,19_mbg_bergizi_makan bergizi_keracu,10,gratis,0.009881
20,20_mobil_driver_parkir_mobil baru,1,mobil,0.060633
20,20_mobil_driver_parkir_mobil baru,2,driver,0.017026
20,20_mobil_driver_parkir_mobil baru,3,parkir,0.016176
20,20_mobil_driver_parkir_mobil baru,4,mobil baru,0.01532
20,20_mobil_driver_parkir_mobil baru,5,kendaraan,0.014414
20,20_mobil_driver_parkir_mobil baru,6,toyota,0.012339
20,20_mobil_driver_parkir_mobil baru,7,harga mobil,0.012238
20,20_mobil_driver_parkir_mobil baru,8,mewah,0.012223
20,20_mobil_driver_parkir_mobil baru,9,beli mobil,0.011821
20,20_mobil_driver_parkir_mobil baru,10,suv,0.011059
21,21_masker_pakai masker_pakai_kain,1,masker,0.192622
21,21_masker_pakai masker_pakai_kain,2,pakai masker,0.050997
21,21_masker_pakai masker_pakai_kain,3,pakai,0.031395
21,21_masker_pakai masker_pakai_kain,4,kain,0.022168
21,21_masker_pakai masker_pakai_kain,5,corona,0.016916
21,21_masker_pakai masker_pakai_kain,6,memakai masker,0.011794
21,21_masker_pakai masker_pakai_kain,7,virus,0.010178
21,21_masker_pakai masker_pakai_kain,8,bagikan,0.009829
21,21_masker_pakai masker_pakai_kain,9,penggunaan masker,0.009665
21,21_masker_pakai masker_pakai_kain,10,penimbun,0.009595
22,22_kendaraan_tol_km_lalu lintas,1,kendaraan,0.016817
22,22_kendaraan_tol_km_lalu lintas,2,tol,0.016268
22,22_kendaraan_tol_km_lalu lintas,3,km,0.014183
22,22_kendaraan_tol_km_lalu lintas,4,lalu lintas,0.014179
22,22_kendaraan_tol_km_lalu lintas,5,arus,0.013756
22,22_kendaraan_tol_km_lalu lintas,6,lintas,0.01286
22,22_kendaraan_tol_km_lalu lintas,7,pelabuhan,0.012432
22,22_kendaraan_tol_km_lalu lintas,8,arah,0.010993
22,22_kendaraan_tol_km_lalu lintas,9,kepadatan,0.010113
22,22_kendaraan_tol_km_lalu lintas,10,cikampek,0.009443
23,23_presiden jokowi_video_presiden_v,1,presiden jokowi,0.013987
23,23_presiden jokowi_video_presiden_v,2,video,0.012988
23,23_presiden jokowi_video_presiden_v,3,presiden,0.011551
23,23_presiden jokowi_video_presiden_v,4,video tersebut,0.011535
23,23_presiden jokowi_video_presiden_v,5,jokowi,0.010804
23,23_presiden jokowi_video_presiden_v,6,unggahan,0.009544
23,23_presiden jokowi_video_presiden_v,7,narasi,0.009181
23,23_presiden jokowi_video_presiden_v,8,counter penjelasan,0.009128
23,23_presiden jokowi_video_presiden_v,9,klaim,0.008963
23,23_presiden jokowi_video_presiden_v,10,presiden joko,0.008896
24,24_kecelakaan_truk_mobil_tol,1,kecelakaan,0.027127
24,24_kecelakaan_truk_mobil_tol,2,truk,0.022003
24,24_kecelakaan_truk_mobil_tol,3,mobil,0.012843
24,24_kecelakaan_truk_mobil_tol,4,tol,0.011556
24,24_kecelakaan_truk_mobil_tol,5,luka,0.011111
24,24_kecelakaan_truk_mobil_tol,6,bus,0.010511
24,24_kecelakaan_truk_mobil_tol,7,menabrak,0.010034
24,24_kecelakaan_truk_mobil_tol,8,kendaraan,0.009762
24,24_kecelakaan_truk_mobil_tol,9,arah,0.009146
24,24_kecelakaan_truk_mobil_tol,10,melaju,0.009065
25,25_lagu_konser_musik_album,1,lagu,0.096707
25,25_lagu_konser_musik_album,2,konser,0.074416
25,25_lagu_konser_musik_album,3,musik,0.059674
25,25_lagu_konser_musik_album,4,album,0.032299
25,25_lagu_konser_musik_album,5,fredly,0.027514
25,25_lagu_konser_musik_album,6,glenn fredly,0.027514
25,25_lagu_konser_musik_album,7,glenn,0.026686
25,25_lagu_konser_musik_album,8,lagu baru,0.02651
25,25_lagu_konser_musik_album,9,musisi,0.02611
25,25_lagu_konser_musik_album,10,lirik,0.021953
26,26_jamaluddin_hakim_jiwasraya_zurai,1,jamaluddin,0.071577
26,26_jamaluddin_hakim_jiwasraya_zurai,2,hakim,0.047911
26,26_jamaluddin_hakim_jiwasraya_zurai,3,jiwasraya,0.036521
26,26_jamaluddin_hakim_jiwasraya_zurai,4,zuraida,0.032901
26,26_jamaluddin_hakim_jiwasraya_zurai,5,pengacara,0.032783
26,26_jamaluddin_hakim_jiwasraya_zurai,6,jaksa,0.027927
26,26_jamaluddin_hakim_jiwasraya_zurai,7,kasus jiwasraya,0.023611
26,26_jamaluddin_hakim_jiwasraya_zurai,8,kpk panggil,0.022929
26,26_jamaluddin_hakim_jiwasraya_zurai,9,jaksa agung,0.02276
26,26_jamaluddin_hakim_jiwasraya_zurai,10,tersangka,0.020504
27,27_hewan_burung_sapi_macan,1,hewan,0.035363
27,27_hewan_burung_sapi_macan,2,burung,0.023496
27,27_hewan_burung_sapi_macan,3,sapi,0.020446
27,27_hewan_burung_sapi_macan,4,macan,0.017567
27,27_hewan_burung_sapi_macan,5,monyet,0.016285
27,27_hewan_burung_sapi_macan,6,anjing,0.013145
27,27_hewan_burung_sapi_macan,7,hutan,0.010639
27,27_hewan_burung_sapi_macan,8,harimau,0.010257
27,27_hewan_burung_sapi_macan,9,ekor,0.010202
27,27_hewan_burung_sapi_macan,10,satwa,0.010001
28,28_tarif_as_trump_impor,1,tarif,0.02537
28,28_tarif_as_trump_impor,2,as,0.018183
28,28_tarif_as_trump_impor,3,trump,0.015818
28,28_tarif_as_trump_impor,4,impor,0.012654
28,28_tarif_as_trump_impor,5,perdagangan,0.010442
28,28_tarif_as_trump_impor,6,amerika,0.008346
28,28_tarif_as_trump_impor,7,china,0.007855
28,28_tarif_as_trump_impor,8,dagang,0.007346
28,28_tarif_as_trump_impor,9,ekspor,0.007312
28,28_tarif_as_trump_impor,10,kebijakan,0.007224
29,29_kredit_bank_bank mandiri_cicilan,1,kredit,0.056961
29,29_kredit_bank_bank mandiri_cicilan,2,bank,0.052597
29,29_kredit_bank_bank mandiri_cicilan,3,bank mandiri,0.028571
29,29_kredit_bank_bank mandiri_cicilan,4,cicilan,0.027737
29,29_kredit_bank_bank mandiri_cicilan,5,nasabah,0.027308
29,29_kredit_bank_bank mandiri_cicilan,6,kartu kredit,0.023295
29,29_kredit_bank_bank mandiri_cicilan,7,keringanan,0.021451
29,29_kredit_bank_bank mandiri_cicilan,8,mandiri,0.020665
29,29_kredit_bank_bank mandiri_cicilan,9,bunga,0.019494
29,29_kredit_bank_bank mandiri_cicilan,10,bayar,0.016787
30,30_wisata_pariwisata_wisatawan_dest,1,wisata,0.044699
30,30_wisata_pariwisata_wisatawan_dest,2,pariwisata,0.040463
30,30_wisata_pariwisata_wisatawan_dest,3,wisatawan,0.019489
30,30_wisata_pariwisata_wisatawan_dest,4,destinasi,0.018714
30,30_wisata_pariwisata_wisatawan_dest,5,liburan,0.016145
30,30_wisata_pariwisata_wisatawan_dest,6,turis,0.013345
30,30_wisata_pariwisata_wisatawan_dest,7,destinasi wisata,0.011721
30,30_wisata_pariwisata_wisatawan_dest,8,tempat wisata,0.011075
30,30_wisata_pariwisata_wisatawan_dest,9,tourism,0.010109
30,30_wisata_pariwisata_wisatawan_dest,10,travel,0.009268
31,31_sekolah_guru_sekolah rakyat_sisw,1,sekolah,0.031881
31,31_sekolah_guru_sekolah rakyat_sisw,2,guru,0.023118
31,31_sekolah_guru_sekolah rakyat_sisw,3,sekolah rakyat,0.017785
31,31_sekolah_guru_sekolah rakyat_sisw,4,siswa,0.014355
31,31_sekolah_guru_sekolah rakyat_sisw,5,pendidikan,0.014144
31,31_sekolah_guru_sekolah rakyat_sisw,6,rakyat,0.0073
31,31_sekolah_guru_sekolah rakyat_sisw,7,sekolah swasta,0.005805
31,31_sekolah_guru_sekolah rakyat_sisw,8,asn,0.005737
31,31_sekolah_guru_sekolah rakyat_sisw,9,smp,0.005707
31,31_sekolah_guru_sekolah rakyat_sisw,10,anak,0.005243
32,32_korban_uki_jenazah_ditemukan,1,korban,0.014536
32,32_korban_uki_jenazah_ditemukan,2,uki,0.009902
32,32_korban_uki_jenazah_ditemukan,3,jenazah,0.009515
32,32_korban_uki_jenazah_ditemukan,4,ditemukan,0.008896
32,32_korban_uki_jenazah_ditemukan,5,mayat,0.006999
32,32_korban_uki_jenazah_ditemukan,6,kematian,0.006662
32,32_korban_uki_jenazah_ditemukan,7,saksi,0.006437
32,32_korban_uki_jenazah_ditemukan,8,nicolas,0.00631
32,32_korban_uki_jenazah_ditemukan,9,tewas,0.006048
32,32_korban_uki_jenazah_ditemukan,10,keluarga,0.005798
33,33_angel_vanessa angel_vanessa_jenn,1,angel,0.22411
33,33_angel_vanessa angel_vanessa_jenn,2,vanessa angel,0.185764
33,33_angel_vanessa angel_vanessa_jenn,3,vanessa,0.178456
33,33_angel_vanessa angel_vanessa_jenn,4,jennifer,0.051476
33,33_angel_vanessa angel_vanessa_jenn,5,vicky,0.041612
33,33_angel_vanessa angel_vanessa_jenn,6,bibi,0.036384
33,33_angel_vanessa angel_vanessa_jenn,7,emak,0.035322
33,33_angel_vanessa angel_vanessa_jenn,8,jennifer dunn,0.034133
33,33_angel_vanessa angel_vanessa_jenn,9,dunn,0.034003
33,33_angel_vanessa angel_vanessa_jenn,10,narkoba,0.031343
34,34_piala_17_timnas_piala dunia,1,piala,0.027939
34,34_piala_17_timnas_piala dunia,2,17,0.022648
34,34_piala_17_timnas_piala dunia,3,timnas,0.017812
34,34_piala_17_timnas_piala dunia,4,piala dunia,0.016501
34,34_piala_17_timnas_piala dunia,5,17 2025,0.016251
34,34_piala_17_timnas_piala dunia,6,timnas indonesia,0.015039
34,34_piala_17_timnas_piala dunia,7,pertandingan,0.014414
34,34_piala_17_timnas_piala dunia,8,pemain,0.014332
34,34_piala_17_timnas_piala dunia,9,laga,0.013186
34,34_piala_17_timnas_piala dunia,10,asia,0.012916
35,35_kereta_penumpang_angkut penumpan,1,kereta,0.064736
35,35_kereta_penumpang_angkut penumpan,2,penumpang,0.053123
35,35_kereta_penumpang_angkut penumpan,3,angkut penumpang,0.051314
35,35_kereta_penumpang_angkut penumpan,4,transportasi,0.04817
35,35_kereta_penumpang_angkut penumpan,5,angkut,0.04681
35,35_kereta_penumpang_angkut penumpan,6,ojol,0.033149
35,35_kereta_penumpang_angkut penumpan,7,polda metro,0.031561
35,35_kereta_penumpang_angkut penumpan,8,kereta cepat,0.029666
35,35_kereta_penumpang_angkut penumpan,9,metro,0.028009
35,35_kereta_penumpang_angkut penumpan,10,polda,0.026025
36,36_psbb_psbb transisi_transisi_long,1,psbb,0.306683
36,36_psbb_psbb transisi_transisi_long,2,psbb transisi,0.036602
36,36_psbb_psbb transisi_transisi_long,3,transisi,0.030921
36,36_psbb_psbb transisi_transisi_long,4,longgarkan psbb,0.030907
36,36_psbb_psbb transisi_transisi_long,5,longgarkan,0.027322
36,36_psbb_psbb transisi_transisi_long,6,menkes,0.024804
36,36_psbb_psbb transisi_transisi_long,7,diperpanjang,0.024319
36,36_psbb_psbb transisi_transisi_long,8,psbb dki,0.023758
36,36_psbb_psbb transisi_transisi_long,9,check point,0.023488
36,36_psbb_psbb transisi_transisi_long,10,pemkot,0.02032
37,37_mahasiswa_aksi_ui_demonstrasi,1,mahasiswa,0.01753
37,37_mahasiswa_aksi_ui_demonstrasi,2,aksi,0.009699
37,37_mahasiswa_aksi_ui_demonstrasi,3,ui,0.008395
37,37_mahasiswa_aksi_ui_demonstrasi,4,demonstrasi,0.007582
37,37_mahasiswa_aksi_ui_demonstrasi,5,bem,0.007395
37,37_mahasiswa_aksi_ui_demonstrasi,6,kampus,0.00654
37,37_mahasiswa_aksi_ui_demonstrasi,7,massa,0.006028
37,37_mahasiswa_aksi_ui_demonstrasi,8,unjuk rasa,0.005601
37,37_mahasiswa_aksi_ui_demonstrasi,9,unjuk,0.005592
37,37_mahasiswa_aksi_ui_demonstrasi,10,universitas,0.005298
38,38_parkir_transjakarta_jalan_jpo,1,parkir,0.012285
38,38_parkir_transjakarta_jalan_jpo,2,transjakarta,0.011636
38,38_parkir_transjakarta_jalan_jpo,3,jalan,0.011388
38,38_parkir_transjakarta_jalan_jpo,4,jpo,0.009426
38,38_parkir_transjakarta_jalan_jpo,5,halte,0.009245
38,38_parkir_transjakarta_jalan_jpo,6,stasiun,0.00876
38,38_parkir_transjakarta_jalan_jpo,7,transportasi,0.008604
38,38_parkir_transjakarta_jalan_jpo,8,rute,0.008534
38,38_parkir_transjakarta_jalan_jpo,9,mrt,0.007604
38,38_parkir_transjakarta_jalan_jpo,10,kemacetan,0.007059
39,39_liga_liverpool_gol_madrid,1,liga,0.03807
39,39_liga_liverpool_gol_madrid,2,liverpool,0.027608
39,39_liga_liverpool_gol_madrid,3,gol,0.0248
39,39_liga_liverpool_gol_madrid,4,madrid,0.021293
39,39_liga_liverpool_gol_madrid,5,manchester,0.020195
39,39_liga_liverpool_gol_madrid,6,arsenal,0.019477
39,39_liga_liverpool_gol_madrid,7,champions,0.018817
39,39_liga_liverpool_gol_madrid,8,liga champions,0.018801
39,39_liga_liverpool_gol_madrid,9,barcelona,0.018546
39,39_liga_liverpool_gol_madrid,10,liga inggris,0.018356
40,40_artis_foto_galeri_galeri foto,1,artis,0.045231
40,40_artis_foto_galeri_galeri foto,2,foto,0.041649
40,40_artis_foto_galeri_galeri foto,3,galeri,0.038317
40,40_artis_foto_galeri_galeri foto,4,galeri foto,0.036686
40,40_artis_foto_galeri_galeri foto,5,seniman,0.036508
40,40_artis_foto_galeri_galeri foto,6,ondel,0.028807
40,40_artis_foto_galeri_galeri foto,7,kulineran,0.028173
40,40_artis_foto_galeri_galeri foto,8,lukisan,0.026389
40,40_artis_foto_galeri_galeri foto,9,seni,0.018201
40,40_artis_foto_galeri_galeri foto,10,ondel ondel,0.016259
41,41_pelaku_korban_polisi_metro,1,pelaku,0.018233
41,41_pelaku_korban_polisi_metro,2,korban,0.011647
41,41_pelaku_korban_polisi_metro,3,polisi,0.009335
41,41_pelaku_korban_polisi_metro,4,metro,0.006607
41,41_pelaku_korban_polisi_metro,5,pria,0.00597
41,41_pelaku_korban_polisi_metro,6,polsek,0.00583
41,41_pelaku_korban_polisi_metro,7,motor,0.005784
41,41_pelaku_korban_polisi_metro,8,polres,0.0057
41,41_pelaku_korban_polisi_metro,9,polres metro,0.005516
41,41_pelaku_korban_polisi_metro,10,berinisial,0.005442
42,42_planet_matahari_fenomena_bumi,1,planet,0.037788
42,42_planet_matahari_fenomena_bumi,2,matahari,0.037378
42,42_planet_matahari_fenomena_bumi,3,fenomena,0.024928
